"application_month","application_count","approved_applications","rejected_applications","approval_rate_percentage","rejection_rate_percentage"
"2021-01-01","713","532","128","74.61","17.95"
"2021-02-01","601","424","133","70.55","22.13"
"2021-03-01","643","487","119","75.74","18.51"
"2021-04-01","674","484","136","71.81","20.18"
"2021-05-01","647","465","129","71.87","19.94"
"2021-06-01","642","460","141","71.65","21.96"
"2021-07-01","664","482","132","72.59","19.88"
"2021-08-01","609","443","121","72.74","19.87"
"2021-09-01","623","465","109","74.64","17.50"
"2021-10-01","686","513","128","74.78","18.66"
"2021-11-01","625","464","112","74.24","17.92"
"2021-12-01","663","505","123","76.17","18.55"
"2022-01-01","681","495","141","72.69","20.70"
"2022-02-01","566","400","120","70.67","21.20"
"2022-03-01","626","453","126","72.36","20.13"
"2022-04-01","625","457","119","73.12","19.04"
"2022-05-01","619","445","126","71.89","20.36"
"2022-06-01","664","496","130","74.70","19.58"
"2022-07-01","676","487","149","72.04","22.04"
"2022-08-01","723","544","133","75.24","18.40"
"2022-09-01","648","464","126","71.60","19.44"
"2022-10-01","660","500","124","75.76","18.79"
"2022-11-01","690","505","122","73.19","17.68"
"2022-12-01","698","519","136","74.36","19.48"
"2023-01-01","676","480","140","71.01","20.71"
"2023-02-01","617","447","113","72.45","18.31"
"2023-03-01","647","465","139","71.87","21.48"
"2023-04-01","654","469","143","71.71","21.87"
"2023-05-01","657","481","120","73.21","18.26"
"2023-06-01","635","465","125","73.23","19.69"
"2023-07-01","650","459","139","70.62","21.38"
"2023-08-01","658","487","125","74.01","19.00"
"2023-09-01","650","499","110","76.77","16.92"
"2023-10-01","645","465","134","72.09","20.78"
"2023-11-01","635","463","125","72.91","19.69"
"2023-12-01","646","472","126","73.07","19.50"
"2024-01-01","671","505","115","75.26","17.14"
"2024-02-01","607","439","122","72.32","20.10"
"2024-03-01","691","504","127","72.94","18.38"
"2024-04-01","628","474","118","75.48","18.79"
"2024-05-01","662","476","132","71.90","19.94"
"2024-06-01","651","494","112","75.88","17.20"
"2024-07-01","711","532","132","74.82","18.57"
"2024-08-01","630","473","116","75.08","18.41"
"2024-09-01","646","493","108","76.32","16.72"
"2024-10-01","667","469","130","70.31","19.49"
