"customer_id","customer_segment","region","age","employment_status","annual_income","loan_count","total_loan_amount","total_outstanding","payment_count","late_payment_count","average_days_late","maximum_days_late","late_payment_rate","payment_behavior_flag"
"C006585","Premium","Sindh",35,"Salaried","841499.22","10","74122113.96","59196894.63","201","33","0.42",7,"16.42","Repeated Late Payments"
"C007183","Affluent","Sindh",45,"Business Owner","227986.89","6","54801329.82","44694757.53","120","1","0.04",5,"0.83","Occasional Late Payments"
"C003243","Premium","Balochistan",42,"Business Owner","306415.18","7","49066497.17","42152329.04","94","18","0.53",6,"19.15","Repeated Late Payments"
"C002642","Mass Market","Khyber Pakhtunkhwa",49,"Salaried","156252.29","5","48869849.63","41785914.70","98","4","0.20",7,"4.08","Repeated Late Payments"
"C002434","Premium","Punjab",41,"Business Owner","727146.12","7","53384102.70","41619293.30","120","10","0.23",7,"8.33","Repeated Late Payments"
"C008899","Premium","Punjab",21,"Salaried","589406.70","9","56238952.60","40767449.07","158","25","6.03",73,"15.82","High Payment Concern"
"C005353","Affluent","Sindh",61,"Business Owner","324086.25","9","44807575.95","39785901.81","136","5","0.15",7,"3.68","Repeated Late Payments"
"C006650","Premium","Punjab",22,"Salaried","330964.68","9","52350619.21","39729019.10","164","31","0.34",7,"18.90","Repeated Late Payments"
"C000785","Premium","Islamabad Capital",41,"Self-Employed","1016188.50","7","45655411.65","38949940.16","101","27","21.54",137,"26.73","High Payment Concern"
"C006979","Affluent","Khyber Pakhtunkhwa",31,"Salaried","489442.02","5","40433764.15","35627768.71","77","5","0.27",6,"6.49","Repeated Late Payments"
"C005668","Premium","Balochistan",40,"Business Owner","421227.99","8","43393420.34","35184852.15","114","19","0.32",6,"16.67","Repeated Late Payments"
"C001300","Mass Affluent","Punjab",21,"Salaried","383911.90","6","37853777.25","33841336.99","81","8","0.30",7,"9.88","Repeated Late Payments"
"C002852","Premium","Sindh",23,"Salaried","1500000.00","6","38351506.66","33269302.61","64","9","1.36",64,"14.06","High Payment Concern"
