account_id,customer_id,account_type,account_status,account_balance,opened_date
A0000001,C000001,Salary,Active,21401.96,2021-08-26
A0000002,C000002,Savings,Active,5933.31,2024-02-15
A0000003,C000003,Savings,Active,7512.6,2024-11-30
A0000004,C000004,Savings,Closed,13191.18,2019-07-18
A0000005,C000005,Savings,Active,27761.27,2024-04-01
A0000006,C000006,Savings,Active,19727.39,2019-08-25
A0000007,C000006,Savings,Active,20491.53,2017-04-22
A0000008,C000007,Savings,Active,5420.46,2023-04-22
A0000009,C000007,Savings,Active,17739.84,2024-09-11
A0000010,C000008,Current,Active,69930.97,2016-04-17
A0000011,C000009,Savings,Active,26092.34,2021-10-04
A0000012,C000010,Savings,Active,50220.48,2024-09-14
A0000013,C000011,Savings,Active,399340.08,2018-09-24
A0000014,C000011,Savings,Active,180389.23,2020-04-24
A0000015,C000012,Current,Active,4641.74,2023-07-24
A0000016,C000012,Current,Dormant,43254.55,2024-11-30
A0000017,C000013,Salary,Active,30890.18,2015-10-22
A0000018,C000014,Savings,Active,51210.02,2020-03-15
A0000019,C000015,Savings,Active,30320.82,2016-11-02
A0000020,C000016,Current,Active,20876.75,2016-03-03
A0000021,C000017,Savings,Active,124624.52,2019-04-25
A0000022,C000018,Salary,Active,127812.25,2024-11-30
A0000023,C000019,Savings,Active,16109.07,2024-11-30
A0000024,C000020,Savings,Active,30035.93,2019-03-27
A0000025,C000021,Savings,Active,19345.84,2022-09-24
A0000026,C000022,Savings,Active,22200.62,2017-09-23
A0000027,C000023,Savings,Active,28400.34,2024-06-11
A0000028,C000024,Savings,Active,176442.73,2018-06-30
A0000029,C000026,Premium,Dormant,154575.14,2019-06-25
A0000030,C000026,Salary,Active,74511.58,2020-05-01
A0000031,C000027,Savings,Active,111412.21,2019-12-07
A0000032,C000029,Current,Active,63653.49,2017-11-10
A0000033,C000029,Salary,Active,61688.79,2020-03-14
A0000034,C000031,Premium,Closed,204858.95,2023-06-12
A0000035,C000031,Current,Dormant,54168.97,2023-08-25
A0000036,C000032,Premium,Active,69201.88,2022-01-28
A0000037,C000033,Premium,Active,106684.68,2021-09-05
A0000038,C000034,Savings,Closed,23112.51,2024-11-30
A0000039,C000035,Current,Active,353432.86,2024-02-05
A0000040,C000035,Salary,Active,1002671.4,2021-05-09
A0000041,C000036,Savings,Active,176650.83,2024-11-30
A0000042,C000037,Savings,Active,320192.56,2020-01-14
A0000043,C000038,Current,Active,82954.71,2020-03-30
A0000044,C000039,Current,Closed,43433.2,2022-01-09
A0000045,C000039,Premium,Active,156575.93,2022-05-06
A0000046,C000040,Premium,Active,287360.99,2018-03-26
A0000047,C000041,Savings,Active,4234.23,2019-08-08
A0000048,C000042,Savings,Active,17866.47,2020-05-19
