customer_id,age,gender,employment_status,annual_income,customer_segment,city,region,customer_since
C000001,30,Male,Business Owner,63199.21,Mass Affluent,Peshawar,Khyber Pakhtunkhwa,2020-07-04
C000002,38,Male,Unemployed,10013.59,Mass Affluent,Sukkur,Sindh,2021-11-11
C000003,44,Male,Salaried,41121.66,Mass Market,Abbottabad,Khyber Pakhtunkhwa,2023-02-19
C000004,43,Female,Salaried,46508.45,Mass Market,Sukkur,Sindh,2016-04-14
C000005,48,Female,Self-Employed,67242.16,Mass Market,Faisalabad,Punjab,2022-12-20
C000006,46,Male,Salaried,73695.23,Mass Market,Islamabad,Islamabad Capital,2016-07-20
C000007,61,Female,Self-Employed,40925.65,Mass Market,Peshawar,Khyber Pakhtunkhwa,2021-03-27
C000008,47,Female,Self-Employed,462977.46,Premium,Peshawar,Khyber Pakhtunkhwa,2015-01-29
C000009,38,Male,Business Owner,90565.96,Mass Market,Rawalpindi,Punjab,2019-09-01
C000010,33,Male,Salaried,114704.12,Mass Market,Sukkur,Sindh,2022-10-07
C000011,33,Male,Salaried,209512.39,Mass Affluent,Multan,Punjab,2016-07-02
C000012,53,Female,Student,52630.04,Mass Market,Turbat,Balochistan,2022-08-05
C000013,58,Female,Salaried,94284.73,Mass Market,Hyderabad,Sindh,2015-10-01
C000014,50,Female,Self-Employed,121358.18,Mass Market,Swat,Khyber Pakhtunkhwa,2018-07-08
C000015,21,Female,Salaried,146984.76,Affluent,Larkana,Sindh,2016-08-24
C000016,21,Male,Salaried,90538.1,Mass Market,Rawalpindi,Punjab,2015-01-11
C000017,39,Male,Salaried,141615.66,Mass Affluent,Hyderabad,Sindh,2017-06-29
C000018,37,Male,Salaried,114803.52,Mass Affluent,Gujranwala,Punjab,2023-05-25
C000019,39,Female,Business Owner,62470.47,Mass Market,Swat,Khyber Pakhtunkhwa,2023-01-25
C000020,53,Male,Self-Employed,153849.29,Mass Affluent,Hyderabad,Sindh,2016-07-17
C000021,52,Female,Student,29575.29,Mass Market,Peshawar,Khyber Pakhtunkhwa,2019-12-14
C000022,41,Male,Student,40055.35,Mass Market,Multan,Punjab,2016-05-04
C000023,22,Male,Salaried,33842.32,Mass Market,Islamabad,Islamabad Capital,2023-02-14
C000024,25,Female,Salaried,488459.32,Premium,Gwadar,Balochistan,2016-11-24
C000025,40,Female,Student,56509.62,Mass Market,Peshawar,Khyber Pakhtunkhwa,2022-12-20
C000026,44,Female,Salaried,109047.95,Mass Market,Rawalpindi,Punjab,2017-04-25
C000027,26,Male,Salaried,99319.59,Affluent,Sukkur,Sindh,2016-04-17
C000028,46,Male,Salaried,47571.18,Mass Market,Gujranwala,Punjab,2023-05-19
C000029,21,Female,Business Owner,156677.75,Affluent,Lahore,Punjab,2016-04-01
C000030,21,Male,Salaried,77259.58,Mass Affluent,Sukkur,Sindh,2020-08-25
C000031,29,Male,Salaried,189069.33,Mass Affluent,Mardan,Khyber Pakhtunkhwa,2020-09-06
C000032,54,Male,Self-Employed,106209.96,Mass Affluent,Islamabad,Islamabad Capital,2018-01-25
C000033,56,Female,Business Owner,53556.07,Mass Affluent,Gujranwala,Punjab,2021-05-23
C000034,21,Male,Salaried,56494.19,Mass Market,Lahore,Punjab,2021-11-15
C000035,22,Male,Business Owner,1354758.18,Premium,Karachi,Sindh,2020-07-19
C000036,47,Female,Salaried,140927.69,Affluent,Rawalpindi,Punjab,2021-12-14
