application_id,customer_id,loan_id,loan_type,requested_amount,application_date,decision_date,application_status
APP0002309,C005442,L0002309,Personal,806775.5,2023-10-03,2023-10-20,Approved
APP0022405,C009606,,Personal,372548.93,2021-04-21,2021-05-03,Rejected
APP0023398,C004771,,Education,421243.09,2022-08-23,2022-09-04,Rejected
APP0025059,C006754,,Mortgage,10591002.74,2022-09-27,2022-10-04,Withdrawn
APP0002665,C003711,L0002665,Auto,1434364.19,2021-11-18,2021-12-02,Approved
APP0008512,C007334,L0008512,Auto,3338514.72,2024-06-05,2024-06-07,Approved
APP0005149,C003876,L0005149,Personal,383336.32,2022-02-07,2022-02-17,Approved
APP0007791,C006046,L0007791,Personal,574767.06,2023-01-23,2023-02-07,Approved
APP0011312,C007267,L0011312,Education,392378.67,2023-06-14,2023-06-25,Approved
APP0019044,C006887,L0019044,Mortgage,14242082.91,2024-08-29,2024-09-11,Approved
APP0010785,C009490,L0010785,Business,3136834.33,2022-06-14,2022-06-23,Approved
APP0022247,C004318,,Education,1615072.17,2021-11-20,2021-11-25,Rejected
APP0003269,C001624,L0003269,Personal,742758.08,2024-05-15,2024-06-01,Approved
APP0015948,C009831,L0015948,Mortgage,5222964.92,2023-09-22,2023-10-03,Approved
APP0014978,C005030,L0014978,Personal,55781.08,2024-04-27,2024-05-12,Approved
APP0014475,C003352,L0014475,Education,1616856.73,2024-05-29,2024-06-08,Approved
APP0028695,C006773,,Auto,1515860.4,2021-01-12,2021-01-21,Rejected
APP0014055,C005713,L0014055,Mortgage,10246496.29,2023-10-09,2023-10-26,Approved
APP0026546,C003124,,Personal,286669.45,2024-06-22,2024-06-29,Rejected
APP0014981,C007983,L0014981,Mortgage,6031916.85,2024-01-23,2024-01-24,Approved
APP0017637,C006801,L0017637,Auto,2556072.12,2022-01-17,2022-01-18,Approved
APP0003932,C006971,L0003932,Business,851935.58,2024-06-09,2024-06-25,Approved
APP0008388,C004132,L0008388,Mortgage,5670344.89,2023-01-20,2023-01-24,Approved
APP0008029,C005223,L0008029,Personal,296535.43,2023-07-06,2023-07-21,Approved
APP0009483,C004597,L0009483,Auto,1776764.57,2022-11-09,2022-11-18,Approved
APP0022573,C000177,,Education,446275.81,2022-02-02,2022-02-06,Rejected
APP0015108,C000742,L0015108,Auto,2675496.68,2024-05-11,2024-05-15,Approved
APP0003674,C009492,L0003674,Personal,1339605.5,2023-05-17,2023-05-31,Approved
APP0021389,C005037,L0021389,Auto,4000000.0,2022-05-26,2022-06-06,Approved
APP0005938,C009029,L0005938,Personal,1147560.86,2021-03-31,2021-04-08,Approved
APP0027034,C005941,,Education,1174112.72,2024-02-05,2024-02-08,Withdrawn
APP0029272,C002227,,Business,6355807.8,2022-10-21,2022-11-01,Rejected
APP0021881,C003383,L0021881,Personal,1191407.22,2022-11-08,2022-11-17,Approved
APP0006509,C003057,L0006509,Personal,1405497.38,2022-07-06,2022-07-15,Approved
APP0021458,C005046,L0021458,Business,1642558.4,2023-10-18,2023-11-03,Approved
APP0020072,C006561,L0020072,Education,129145.52,2024-08-11,2024-08-20,Approved
APP0027013,C009584,,Auto,316389.17,2024-02-20,2024-02-23,Rejected
APP0010093,C003448,L0010093,Business,2147190.25,2021-07-10,2021-07-13,Approved
APP0022568,C003009,,Personal,1201854.43,2021-05-09,2021-05-15,Withdrawn
APP0012977,C001691,L0012977,Personal,917697.55,2022-03-23,2022-04-05,Approved
APP0003814,C007108,L0003814,Education,887723.64,2024-02-08,2024-02-24,Approved
APP0007338,C004904,L0007338,Personal,1164699.41,2022-03-26,2022-03-29,Approved
APP0024484,C004583,,Personal,95627.72,2024-08-09,2024-08-12,Rejected
APP0019593,C000141,L0019593,Personal,220095.96,2024-09-09,2024-09-23,Approved
APP0005122,C009483,L0005122,Personal,1297369.59,2022-01-20,2022-01-26,Approved
APP0014906,C001681,L0014906,Mortgage,2765890.18,2023-02-25,2023-03-01,Approved
APP0008224,C001208,L0008224,Personal,317156.85,2021-04-07,2021-04-15,Approved
APP0002869,C003204,L0002869,Auto,530375.21,2022-06-29,2022-07-06,Approved
APP0002343,C002987,L0002343,Personal,1324029.58,2022-10-28,2022-11-10,Approved
APP0008833,C001738,L0008833,Personal,799453.95,2022-09-05,2022-09-09,Approved
APP0007933,C001035,L0007933,Mortgage,6621967.48,2022-10-06,2022-10-19,Approved
APP0016558,C007821,L0016558,Education,1337361.77,2021-09-03,2021-09-05,Approved
APP0020605,C004754,L0020605,Personal,1500000.0,2021-03-30,2021-04-12,Approved
APP0012984,C002801,L0012984,Education,377019.17,2023-04-11,2023-04-20,Approved
APP0003015,C002873,L0003015,Auto,1215077.57,2023-04-28,2023-05-02,Approved
APP0027332,C001492,,Personal,1031810.92,2021-10-21,2021-10-27,Rejected
APP0012125,C001033,L0012125,Personal,1366497.58,2024-04-10,2024-04-11,Approved
APP0003753,C001971,L0003753,Business,569424.71,2022-06-26,2022-07-01,Approved
APP0027388,C006336,,Personal,987331.8,2023-06-12,2023-06-18,Withdrawn
APP0012336,C003635,L0012336,Auto,2807204.48,2024-05-11,2024-05-16,Approved
APP0011545,C004267,L0011545,Auto,1393017.85,2022-04-27,2022-05-05,Approved
APP0011357,C000017,L0011357,Education,1158235.11,2022-08-19,2022-08-25,Approved
APP0002677,C007843,L0002677,Mortgage,2654958.44,2024-07-03,2024-07-13,Approved
APP0028739,C002556,,Auto,2622029.08,2023-04-01,2023-04-10,Rejected
APP0029996,C002445,,Personal,714747.92,2024-07-14,2024-07-16,Rejected
APP0020748,C000515,L0020748,Personal,462754.15,2023-09-20,2023-09-23,Approved
APP0013376,C007205,L0013376,Education,656480.61,2023-06-14,2023-06-19,Approved
APP0017987,C002802,L0017987,Auto,879263.65,2022-02-25,2022-03-05,Approved
APP0007886,C002668,L0007886,Education,625776.33,2023-09-29,2023-10-05,Approved
APP0013333,C004679,L0013333,Education,1216825.32,2024-03-17,2024-03-29,Approved
APP0009586,C001648,L0009586,Education,307730.1,2021-12-18,2021-12-19,Approved
APP0006333,C005674,L0006333,Personal,755766.8,2023-11-28,2023-12-13,Approved
APP0024430,C001205,,Auto,2154507.21,2024-07-14,2024-07-16,Rejected
APP0018080,C003630,L0018080,Auto,2946705.74,2021-05-13,2021-05-26,Approved
APP0005202,C002752,L0005202,Personal,942916.36,2022-06-12,2022-06-16,Approved
