payment_id,loan_id,payment_date,payment_amount,payment_status,days_late
P00000001,L0000001,2021-11-02,16591.3,Paid,0
P00000002,L0000001,2021-12-11,18379.35,Paid,0
P00000003,L0000001,2022-01-20,17011.12,Paid,0
P00000004,L0000001,2022-03-01,18243.66,Paid,0
P00000005,L0000001,2022-04-10,16016.82,Paid,0
P00000006,L0000001,2022-05-20,18111.19,Paid,0
P00000007,L0000001,2022-06-28,16643.63,Paid,0
P00000008,L0000001,2022-08-07,17889.12,Late,2
P00000009,L0000001,2022-09-16,16600.04,Paid,0
P00000010,L0000001,2022-10-26,17006.64,Paid,0
P00000011,L0000001,2022-12-05,17053.14,Paid,0
P00000012,L0000001,2023-01-14,15595.48,Paid,0
P00000013,L0000001,2023-02-22,18460.7,Paid,0
P00000014,L0000001,2023-04-03,16507.46,Paid,0
P00000015,L0000001,2023-05-13,17761.28,Paid,0
P00000016,L0000001,2023-06-22,15965.0,Paid,0
P00000017,L0000001,2023-08-01,15784.54,Paid,0
P00000018,L0000001,2023-09-10,18538.58,Paid,0
P00000019,L0000001,2023-10-19,18655.74,Paid,0
P00000020,L0000001,2023-11-28,16132.65,Paid,0
P00000021,L0000001,2024-01-07,18401.52,Paid,0
P00000022,L0000001,2024-02-16,17417.1,Paid,0
P00000023,L0000001,2024-03-27,15791.46,Paid,0
P00000024,L0000001,2024-05-06,17202.9,Paid,0
P00000025,L0000001,2024-06-14,15792.99,Paid,0
P00000026,L0000001,2024-07-24,18072.39,Paid,0
P00000027,L0000001,2024-09-02,18138.82,Paid,0
P00000028,L0000001,2024-10-12,18433.69,Paid,0
P00000029,L0000001,2024-11-21,16242.63,Paid,0
P00000030,L0000001,2024-12-31,18244.53,Paid,0
P00000031,L0000002,2021-05-25,27429.52,Paid,0
P00000032,L0000002,2021-07-21,25066.65,Paid,0
P00000033,L0000002,2021-09-16,26884.99,Paid,0
P00000034,L0000002,2021-11-12,25907.72,Paid,0
P00000035,L0000002,2022-01-08,26397.35,Paid,0
P00000036,L0000002,2022-03-07,26973.08,Paid,0
P00000037,L0000002,2022-05-03,26738.77,Paid,0
P00000038,L0000002,2022-06-29,28114.14,Paid,0
P00000039,L0000002,2022-08-25,28832.05,Paid,0
P00000040,L0000002,2022-10-21,28400.64,Paid,0
P00000041,L0000002,2022-12-18,28109.63,Late,5
P00000042,L0000002,2023-02-13,26529.5,Paid,0
P00000043,L0000002,2023-04-11,25103.12,Paid,0
P00000044,L0000002,2023-06-07,28916.48,Paid,0
P00000045,L0000002,2023-08-04,27648.06,Late,3
P00000046,L0000002,2023-09-30,28138.85,Paid,0
P00000047,L0000002,2023-11-26,24515.55,Paid,0
P00000048,L0000002,2024-01-22,28864.65,Late,7
P00000049,L0000002,2024-03-19,24659.41,Paid,0
P00000050,L0000002,2024-05-16,25547.65,Paid,0
P00000051,L0000002,2024-07-12,27510.8,Paid,0
P00000052,L0000002,2024-09-07,27578.87,Paid,0
P00000053,L0000002,2024-11-03,28017.25,Late,3
P00000054,L0000002,2024-12-31,25984.37,Paid,0
P00000055,L0000003,2024-04-19,40570.83,Paid,0
