loan_id,customer_id,loan_type,loan_amount,outstanding_amount,interest_rate,loan_term_months,loan_status,application_date,disbursement_date,maturity_date
L0000001,C006490,Education,778956.52,675823.59,6.5,48,Current,2021-09-30,2021-10-08,2025-10-08
L0000002,C002599,Auto,1685029.7,1270710.45,13.14,60,Current,2021-04-13,2021-04-30,2026-04-30
L0000003,C004791,Mortgage,6411293.37,5524539.0,7.86,180,Current,2024-02-23,2024-03-25,2039-03-25
L0000004,C000339,Business,5490666.81,3488500.32,12.18,60,Delinquent,2021-02-11,2021-03-09,2026-03-09
L0000005,C007751,Personal,384033.44,150501.86,15.63,60,Default,2022-04-08,2022-04-30,2027-04-30
L0000006,C007369,Personal,729162.29,656876.15,16.19,60,Current,2023-07-11,2023-07-15,2028-07-15
L0000007,C005047,Personal,894387.98,0.0,17.09,36,Paid Off,2022-12-18,2023-01-17,2026-01-17
L0000008,C004348,Business,2626328.16,2451752.95,13.13,84,Current,2021-12-10,2022-01-06,2029-01-06
L0000009,C008092,Auto,829896.75,708732.09,10.91,24,Current,2023-11-19,2023-12-13,2025-12-13
L0000010,C009612,Auto,1789558.34,1597839.4,12.02,60,Current,2024-05-04,2024-05-09,2029-05-09
L0000011,C001618,Mortgage,4009160.67,3320988.68,9.72,180,Current,2023-02-14,2023-03-03,2038-03-03
L0000012,C005805,Personal,1265126.69,891810.97,13.1,48,Delinquent,2022-02-11,2022-03-12,2026-03-12
L0000013,C004345,Personal,1073153.34,0.0,12.58,36,Paid Off,2022-01-11,2022-01-14,2025-01-14
L0000014,C000130,Mortgage,6010035.42,4414714.5,9.79,60,Current,2023-06-05,2023-06-20,2028-06-20
L0000015,C003516,Mortgage,5747512.27,3256245.65,9.78,60,Current,2022-02-16,2022-03-18,2027-03-18
L0000016,C008236,Personal,865633.82,0.0,17.3,48,Paid Off,2023-05-01,2023-05-19,2027-05-19
L0000017,C009845,Personal,91299.37,0.0,15.64,36,Paid Off,2022-01-02,2022-01-15,2025-01-15
L0000018,C001371,Mortgage,3765991.97,3481078.85,11.91,120,Current,2022-10-28,2022-11-06,2032-11-06
L0000019,C001487,Mortgage,8909388.57,8124853.42,12.0,240,Current,2024-05-16,2024-05-25,2044-05-25
L0000020,C005671,Business,7248407.47,0.0,14.63,36,Paid Off,2022-08-14,2022-08-31,2025-08-31
L0000021,C001814,Personal,798234.32,0.0,17.62,24,Paid Off,2021-09-21,2021-10-19,2023-10-19
L0000022,C009185,Mortgage,11333893.51,6595177.08,10.79,180,Delinquent,2022-11-27,2022-12-14,2037-12-14
L0000023,C001537,Auto,2167306.69,0.0,12.41,36,Closed,2021-10-12,2021-11-02,2024-11-02
L0000024,C009134,Education,1524207.87,1417320.32,7.72,36,Current,2024-01-10,2024-02-05,2027-02-05
L0000025,C000856,Personal,209505.02,175753.42,15.96,12,Current,2024-01-24,2024-02-15,2025-02-15
L0000026,C001566,Education,1032301.09,802172.6,10.31,48,Current,2024-03-14,2024-04-06,2028-04-06
L0000027,C007125,Mortgage,2339311.51,1650057.63,9.9,60,Current,2023-05-12,2023-06-10,2028-06-10
L0000028,C007227,Personal,247532.33,0.0,13.79,12,Closed,2021-09-05,2021-09-16,2022-09-16
L0000029,C009516,Auto,911223.73,359058.92,14.4,36,Current,2022-04-10,2022-05-05,2025-05-05
L0000030,C008518,Personal,1500000.0,1358480.49,14.38,36,Current,2022-12-22,2023-01-17,2026-01-17
L0000031,C009190,Business,5923004.42,4964436.35,12.23,84,Current,2023-06-09,2023-06-17,2030-06-17
L0000032,C001714,Auto,2579388.62,0.0,12.87,24,Paid Off,2022-09-14,2022-09-29,2024-09-29
L0000033,C006460,Business,4367959.16,2350233.57,13.88,60,Delinquent,2023-03-24,2023-04-02,2028-04-02
L0000034,C001647,Mortgage,10653472.95,9147024.39,11.16,180,Current,2024-02-26,2024-03-21,2039-03-21
L0000035,C002638,Mortgage,9340909.28,8315591.85,10.19,60,Current,2021-03-21,2021-03-23,2026-03-23
L0000036,C008538,Personal,1178337.3,0.0,15.53,36,Paid Off,2021-10-25,2021-11-06,2024-11-06
L0000037,C001124,Business,5376580.29,3770884.89,13.59,48,Current,2021-03-29,2021-04-06,2025-04-06
L0000038,C002628,Auto,2343164.03,2065826.22,12.48,60,Current,2024-01-30,2024-02-17,2029-02-17
L0000039,C009851,Business,4836898.97,3219699.31,16.67,84,Current,2022-06-03,2022-06-05,2029-06-05
L0000040,C009544,Personal,256793.28,228699.67,14.0,36,Current,2024-07-19,2024-08-08,2027-08-08
L0000041,C006339,Personal,299580.24,222312.38,12.83,24,Current,2023-07-20,2023-08-20,2025-08-20
L0000042,C001379,Mortgage,4473025.17,3817439.85,8.47,240,Current,2024-04-23,2024-04-29,2044-04-29
L0000043,C000182,Personal,521159.94,350831.12,15.78,48,Current,2023-07-03,2023-07-30,2027-07-30
L0000044,C003576,Auto,1510496.12,1053908.95,14.79,60,Current,2023-01-28,2023-02-11,2028-02-11
L0000045,C009772,Business,5747294.84,4362563.55,16.4,84,Delinquent,2022-10-14,2022-11-12,2029-11-12
L0000046,C000307,Education,891561.46,723198.56,10.59,60,Delinquent,2023-05-04,2023-05-08,2028-05-08
L0000047,C006098,Auto,1916611.46,1572486.19,10.43,48,Current,2024-03-26,2024-04-05,2028-04-05
L0000048,C005566,Personal,199381.16,172929.3,13.14,60,Current,2024-10-09,2024-11-09,2029-11-09
